month,day,height,input,contain,empty,output,sea,cdb,jsb,hgb,hjb,dgb,jgb,sjd
5,16,24.9,183,207.8,36.2,382,368,384.7,368.2,364,323.3,1,1,1
5,16,24.92,382,208.52,35.48,382,353,380.7,363.2,359,327.3,1,1,1
5,16,24.92,382,208.52,35.48,382,264,346.7,343.2,345,333.3,1,1,1
5,16,24.95,487,209.6,34.4,387,139,335.7,329.2,331,314.3,1,1,1
5,16,24.96,480,209.96,34.04,380,265,330.7,324.2,326,309.3,1,1,1
5,16,24.97,480,210.32,33.68,380,370,327.7,322.2,324,307.3,1,1,1
5,16,24.98,581,210.68,33.32,380,429,327.7,322.2,323,306.3,1,1,1
5,16,24.98,481,210.68,33.32,380,464,327.7,322.2,323,305.3,1,1,1
5,25,24.94,224,209.24,34.76,324,588,291.7,284.2,290,308.3,1,1,1
5,25,24.95,324,209.6,34.4,324,571,290.7,290.2,304,313.3,1,1,1
5,25,24.94,224,209.24,34.76,324,555,290.7,304.2,312,318.3,1,1,1
5,27,24.89,296,207.44,36.56,296,716,294.7,296.2,319,349.3,1,1,1
5,27,24.9,396,207.8,36.2,296,684,305.7,326.2,346,364.3,1,1,1
5,27,24.9,296,207.8,36.2,296,645,354.7,353.2,367,378.3,1,1,1
5,28,24.9,236,207.8,36.2,435,505,314.7,309.2,310,294.3,1,1,1
5,30,24.79,355,203.67,40.33,577,477,316.7,309.2,311,316.3,1,1,1
6,3,24.88,513,207.08,36.92,414,329,310.7,298.2,296,278.3,1,1,1
6,3,24.88,513,207.08,36.92,414,306,304.7,297.2,297,278.3,1,1,1
6,10,24.84,459,205.65,38.35,459,183,312.7,307.2,309,295.3,1,1,1
7,4,24.89,1014,207.44,36.56,816,517,354.7,342.2,342,323.3,1,1,1
8,31,24.75,382,202.08,41.92,603,306,295.7,285.2,285,266.3,1,1,1
8,31,24.72,806,200.89,43.11,806,141,326.7,315.2,316,298.3,1,1,1
8,31,24.67,598,198.92,45.08,816,140,348.7,334.2,335,315.3,1,1,1
8,31,24.63,494,197.35,46.65,819,210,353.7,339.2,339,322.3,1,1,1
8,31,24.63,664,197.35,46.65,772,259,354.7,340.2,341,324.3,1,1,1
8,31,24.62,661,196.96,47.04,769,348,357.7,345.2,345,319.3,1,1,1
9,6,24.87,597,206.73,37.27,696,236,339.7,333.2,337,322.3,1,1,1
9,6,24.86,601,206.37,37.63,700,224,339.7,333.2,336,321.3,1,1,1
9,7,24.81,566,204.47,39.53,344,274,320.7,315.2,317,303.3,1,1,1
9,7,24.77,226,202.87,41.13,337,391,434.7,420.2,416,369.3,1,1,1
9,7,24.8,546,204.07,39.93,324,253,370.7,364.2,364,345.3,1,1,1
9,21,25,572,211.41,32.59,270,670,300.7,296.2,297,282.3,1,1,1
9,21,24.98,467,210.68,33.32,366,717,299.7,295.2,297,282.3,1,1,1
9,21,24.97,267,210.32,33.68,368,725,301.7,295.2,296,286.3,1,1,1
9,21,24.98,368,210.68,33.32,368,714,302.7,295.2,297,303.3,1,1,1
9,21,24.98,469,210.68,33.32,368,701,302.7,295.2,297,316.3,1,1,1
9,21,24.98,368,210.68,33.32,368,673,303.7,295.2,308,334.3,1,1,1
9,29,24.84,564,205.65,38.35,342,228,289.7,284.2,286,273.3,1,1,1
10,1,24.98,138,210.68,33.32,340,330,291.7,272.2,273,258.3,1,1,1
10,19,24.95,164,209.6,34.4,164,,298.7,289.2,295,284.3,1,1,1
10,19,24.95,171,209.6,34.4,171,,295.7,288.2,294,282.3,1,1,1
5,2,24.96,331,209.96,34.04,331,351,335.7,320.2,323,295.3,0,1,1
5,4,24.87,283,206.73,37.27,382,198,288.7,282.2,284,273.3,0,1,1
5,4,24.87,297,206.73,37.27,396,226,291.7,283.2,285,270.3,0,1,1
5,4,24.85,198,206.01,37.99,396,276,292.7,283.2,285,270.3,0,1,1
5,5,24.78,0,203.27,40.73,258,440,294.7,289.2,291,276.3,0,1,1
5,15,24.88,382,207.08,36.92,382,168,307.7,300.2,301,288.3,0,1,1
5,16,24.9,189,207.8,36.2,388,95,298.7,292.2,294,276.3,0,1,1
5,16,24.9,388,207.8,36.2,388,98,293.7,288.2,291,279.3,0,1,1
5,16,24.92,388,208.52,35.48,388,495,295.7,287.2,289,277.3,0,1,1
5,16,24.92,388,208.52,35.48,388,566,295.7,287.2,290,276.3,0,1,1
5,16,24.92,388,208.52,35.48,388,587,295.7,288.2,290,276.3,0,1,1
5,16,24.9,389,207.8,36.2,389,584,297.7,290.2,292,311.3,0,1,1
5,16,24.9,389,207.8,36.2,389,556,297.7,306.2,313,318.3,0,1,1
5,16,24.95,387,209.6,34.4,387,235,331.7,325.2,327,310.3,0,1,1
5,16,24.97,587,210.32,33.68,387,328,328.7,323.2,325,308.3,0,1,1
5,16,24.97,580,210.32,33.68,380,350,328.7,322.2,324,307.3,0,1,1
5,16,25.06,573,213.59,30.41,371,463,331.7,324.2,326,309.3,0,1,1
5,28,24.87,397,206.73,37.27,595,630,339.7,355.2,365,378.3,0,1,1
5,28,24.89,786,207.44,36.56,588,501,453.7,443.2,439,394.3,0,1,1
5,30,24.82,577,204.87,39.13,577,544,325.7,312.2,313,294.3,0,1,1
6,3,24.88,414,207.08,36.92,414,295,301.7,297.2,298,278.3,0,1,1
6,3,24.89,513,207.44,36.56,414,263,301.7,295.2,297,283.3,0,1,1
6,3,24.89,513,207.44,36.56,414,233,301.7,294.2,296,283.3,0,1,1
6,3,24.9,514,207.8,36.2,414,188,304.7,295.2,297,281.3,0,1,1
6,11,24.8,208,204.07,39.93,208,87,306.7,301.2,304,291.3,0,1,1
6,15,24.84,27,205.65,38.35,424,100,304.7,297.2,299,282.3,0,1,1
6,26,24.87,241,206.73,37.27,340,451,300.7,294.2,296,281.3,0,1,1
6,26,24.87,340,206.73,37.27,340,543,299.7,293.2,295,280.3,0,1,1
6,26,24.87,340,206.73,37.27,340,689,295.7,290.2,292,278.3,0,1,1
7,3,24.86,689,206.37,37.63,788,136,307.7,296.2,299,282.3,0,1,1
7,3,24.84,689,205.65,38.35,788,231,332.7,319.2,321,302.3,0,1,1
7,3,24.84,788,205.65,38.35,788,299,336.7,324.2,326,308.3,0,1,1
7,3,24.85,887,206.01,37.99,788,424,345.7,333.2,334,317.3,0,1,1
7,4,24.85,788,206.01,37.99,788,506,350.7,337.2,338,320.3,0,1,1
7,4,24.87,1007,206.73,37.27,809,527,352.7,339.2,340,321.3,0,1,1
7,4,24.87,1014,206.73,37.27,816,532,352.7,340.2,341,322.3,0,1,1
7,4,24.94,1005,209.24,34.76,805,374,357.7,345.2,346,324.3,0,1,1
7,4,24.95,1112,209.6,34.4,812,338,357.7,345.2,345,324.3,0,1,1
7,4,25.02,1210,212.14,31.86,808,185,352.7,341.2,342,321.3,0,1,1
7,4,25.04,1110,212.86,31.14,808,185,351.7,340.2,341,320.3,0,1,1
7,4,25.14,1464,216.52,27.48,754,266,348.7,337.2,338,318.3,0,1,1
7,4,25.26,1363,220.96,23.04,746,440,342.7,334.2,335,316.3,0,1,1
8,31,24.76,492,202.47,41.53,603,341,289.7,278.2,280,265.3,0,1,1
8,31,24.75,493,202.08,41.92,603,285,292.7,286.2,288,268.3,0,1,1
9,7,24.85,344,206.01,37.99,344,80,335.7,327.2,328,313.3,0,1,1
9,7,24.8,233,204.07,39.93,344,419,314.7,310.2,312,298.3,0,1,1
9,7,24.79,226,203.67,40.33,337,601,310.7,306.2,307,295.3,0,1,1
9,7,24.79,344,203.67,40.33,344,656,309.7,304.2,306,293.3,0,1,1
9,7,24.79,337,203.67,40.33,337,695,308.7,303.2,305,292.3,0,1,1
9,21,24.98,272,210.68,33.32,272,198,309.7,301.2,302,285.3,0,1,1
9,21,24.97,272,210.32,33.68,272,533,300.7,296.2,298,283.3,0,1,1
9,21,24.98,467,210.68,33.32,366,706,300.7,295.2,297,282.3,0,1,1
9,29,24.85,441,206.01,37.99,342,447,290.7,283.2,284,271.3,0,1,1
9,29,24.86,441,206.37,37.63,342,483,290.7,283.2,285,271.3,0,1,1
9,29,24.86,439,206.37,37.63,340,473,290.7,283.2,285,270.3,0,1,1
10,6,24.96,78,209.96,34.04,178,585,285.7,300.2,315,332.3,0,1,1
10,7,24.93,58,208.88,35.12,258,735,299.7,290.2,296,282.3,0,1,1
10,10,25.15,348,216.89,27.11,144,186,328.7,319.2,323,304.3,0,1,1
10,10,25.17,551,217.63,26.37,143,146,318.7,309.2,312,296.3,0,1,1
10,19,24.95,177,209.6,34.4,177,,297.7,289.2,295,284.3,0,1,1
5,30,24.79,579,203.67,40.33,579,409,327.7,331.2,334,323.3,4,0,1
5,28,24.89,492,207.44,36.56,592,705,306.7,300.2,313,349.3,3,0,1
5,28,24.88,489,207.08,36.92,588,686,305.7,316.2,333,357.3,3,0,1
8,24,24.62,133,196.96,47.04,133,578,350.7,344.2,356,362.3,3,0,1
5,1,24.93,310,208.88,35.12,310,204,354.7,347.2,347,325.3,2,0,1
5,15,24.88,382,207.08,36.92,382,207,313.7,306.2,306,291.3,2,0,1
8,31,24.68,597,199.31,44.69,815,122,345.7,332.2,332,313.3,2,0,1
9,6,24.87,597,206.73,37.27,696,261,343.7,334.2,337,323.3,2,0,1
9,7,24.78,337,203.27,40.73,337,425,442.7,428.2,424,369.3,2,0,1
5,4,24.82,0,204.87,39.13,398,319,291.7,284.2,286,271.3,1,0,1
5,4,24.8,147,204.07,39.93,258,438,295.7,288.2,290,274.3,1,0,1
5,15,24.87,283,206.73,37.27,382,197,311.7,305.2,305,288.3,1,0,1
5,15,24.88,481,207.08,36.92,382,130,298.7,296.2,298,286.3,1,0,1
5,15,24.88,382,207.08,36.92,382,154,300.7,294.2,295,283.3,1,0,1
5,16,24.92,388,208.52,35.48,388,542,293.7,287.2,289,277.3,1,0,1
5,16,24.92,382,208.52,35.48,382,313,358.7,349.2,352,335.3,1,0,1
5,16,24.92,581,208.52,35.48,382,300,351.7,347.2,351,335.3,1,0,1
5,16,24.92,388,208.52,35.48,388,277,345.7,346.2,348,334.3,1,0,1
5,16,24.93,488,208.88,35.12,388,231,347.7,341.2,342,326.3,1,0,1
5,16,24.93,488,208.88,35.12,388,202,345.7,339.2,339,318.3,1,0,1
5,16,24.95,380,209.6,34.4,380,218,332.7,326.2,327,310.3,1,0,1
5,17,25.3,1243,222.45,21.55,1451,321,385.7,361.2,358,326.3,1,0,1
5,28,24.89,335,207.44,36.56,435,727,308.7,303.2,306,291.3,1,0,1
5,28,24.89,335,207.44,36.56,435,750,308.7,303.2,305,291.3,1,0,1
5,28,24.89,519,207.44,36.56,519,731,306.7,302.2,303,329.3,1,0,1
6,3,24.9,543,207.8,36.2,543,184,307.7,297.2,301,280.3,1,0,1
6,3,24.9,344,207.8,36.2,543,198,307.7,301.2,301,280.3,1,0,1
6,10,24.85,558,206.01,37.99,459,193,310.7,306.2,310,297.3,1,0,1
6,11,24.79,0,203.67,40.33,208,273,301.7,295.2,296,282.3,1,0,1
6,11,24.79,0,203.67,40.33,208,326,300.7,295.2,296,280.3,1,0,1
6,26,24.87,340,206.73,37.27,340,511,299.7,293.2,295,280.3,1,0,1
7,3,24.84,788,205.65,38.35,788,363,341.7,329.2,331,313.3,1,0,1
7,4,24.85,788,206.01,37.99,788,489,348.7,336.2,338,319.3,1,0,1
8,1,24.92,525,208.52,35.48,326,201,291.7,284.2,285,270.3,1,0,1
8,23,24.7,318,200.1,43.9,318,192,309.7,309.2,311,297.3,1,0,1
8,23,24.65,294,198.13,45.87,728,666,301.7,295.2,297,284.3,1,0,1
8,24,24.67,351,198.92,45.08,134,258,363.7,359.2,361,349.3,1,0,1
8,24,24.69,351,199.7,44.3,133,202,355.7,348.2,348,329.3,1,0,1
8,31,24.77,603,202.87,41.13,603,406,283.7,277.2,279,265.3,1,0,1
8,31,24.62,661,196.96,47.04,769,305,355.7,343.2,343,325.3,1,0,1
8,31,24.62,769,196.96,47.04,769,391,359.7,346.2,343,319.3,1,0,1
8,31,24.62,769,196.96,47.04,769,420,358.7,342.2,343,319.3,1,0,1
8,31,24.62,769,196.96,47.04,769,489,355.7,342.2,342,318.3,1,0,1
9,6,24.92,396,208.52,35.48,696,457,316.7,322.2,327,318.3,1,0,1
9,6,24.9,297,207.8,36.2,696,424,344.7,331.2,335,320.3,1,0,1
9,6,24.87,498,206.73,37.27,696,287,356.7,339.2,339,321.3,1,0,1
9,6,24.87,498,206.73,37.27,696,274,350.7,336.2,337,323.3,1,0,1
9,7,24.86,440,206.37,37.63,341,112,337.7,329.2,330,314.3,1,0,1
9,7,24.81,455,204.47,39.53,344,246,320.7,315.2,318,304.3,1,0,1
9,7,24.79,122,203.67,40.33,344,479,313.7,309.2,310,297.3,1,0,1
9,7,24.79,115,203.67,40.33,337,570,311.7,306.2,308,295.3,1,0,1
9,7,24.8,640,204.07,39.93,640,647,316.7,306.2,308,293.3,1,0,1
9,7,24.79,522,203.67,40.33,633,325,396.7,377.2,371,333.3,1,0,1
9,21,24.97,272,210.32,33.68,272,502,300.7,296.2,298,284.3,1,0,1
9,21,24.97,272,210.32,33.68,272,591,302.7,296.2,298,283.3,1,0,1
9,29,24.86,433,206.37,37.63,334,478,291.7,283.2,285,270.3,1,0,1
10,2,24.97,231,210.32,33.68,332,407,276.7,269.2,277,267.3,1,0,1
10,6,24.95,234,209.6,34.4,334,495,355.7,348.2,351,349.3,1,0,1
10,19,24.95,171,209.6,34.4,171,,293.7,285.2,290,277.3,1,0,1
5,1,24.9,0,207.8,36.2,151,323,291.7,288.2,290,279.3,0,0,1
5,1,24.93,410,208.88,35.12,310,214,356.7,349.2,349,328.3,0,0,1
5,4,24.87,152,206.73,37.27,152,409,282.7,277.2,279,266.3,0,0,1
5,4,24.89,250,207.44,36.56,151,487,282.7,277.2,279,265.3,0,0,1
5,4,24.92,280,208.52,35.48,380,347,305.7,293.2,289,265.3,0,0,1
5,4,24.92,380,208.52,35.48,380,314,290.7,286.2,288,272.3,0,0,1
5,4,24.81,0,204.47,39.53,398,344,292.7,285.2,286,271.3,0,0,1
5,4,24.81,0,204.47,39.53,316,368,294.7,285.2,287,272.3,0,0,1
5,4,24.81,258,204.47,39.53,258,420,295.7,287.2,289,273.3,0,0,1
5,4,24.81,258,204.47,39.53,258,429,295.7,288.2,289,273.3,0,0,1
5,15,24.88,382,207.08,36.92,382,201,300.7,294.2,296,280.3,0,0,1
5,15,24.87,382,206.73,37.27,382,336,300.7,292.2,294,278.3,0,0,1
5,15,24.87,166,206.73,37.27,166,553,298.7,292.2,294,280.3,0,0,1
5,15,24.88,263,207.08,36.92,164,505,296.7,292.2,294,280.3,0,0,1
5,15,24.87,164,206.73,37.27,164,491,297.7,292.2,293,280.3,0,0,1
